t,step,x,y,theta,theta_dot,theta_ddot,tau,x_target,y_target,theta_target,ex,ey,etheta,reward,reward_cum,force_left,force_right
0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,1,0.06359666585922241,0.9979757070541382,0.06363961100578308,3.181980609893799,100.0,212.1320343017578,0.5890688300132751,-0.8080828785896301,15.078057289123535,0.5254721641540527,-1.8060585260391235,15.01441764831543,-60.04623743141652,-60.04623743141652,0.0,424.2640686035156
0.04,2,0.18886026740074158,0.9820039868354797,0.19000139832496643,6.318089485168457,100.0,209.85690307617188,-0.954903781414032,0.29691535234451294,30.146591186523438,-1.1437640190124512,-0.6850886344909668,29.956588745117188,-74.18772010365063,-134.23395753506716,15.078057289123535,434.7918701171875
0.06,3,0.3690134882926941,0.9294240474700928,0.3779473602771759,9.397298812866211,100.0,207.44924926757812,0.9369458556175232,0.3494744896888733,45.196083068847656,0.5679324269294739,-0.5799495577812195,44.81813430786133,-88.07390384346299,-222.30786137853016,30.146591186523438,445.0450744628906
0.08,4,0.5860210061073303,0.8102958798408508,0.6261395215988159,10.0,100.0,204.91053771972656,-0.5027425289154053,-0.8644362092018127,60.2170295715332,-1.0887635946273804,-1.6747320890426636,59.59088897705078,-101.80432372378665,-324.1121851023168,45.196083068847656,455.01715087890625
0.1,5,0.7738754749298096,0.6333377957344055,0.884937584400177,10.0,100.0,202.24240112304688,-0.19698679447174072,0.9804061651229858,75.19994354248047,-0.9708622694015503,0.34706833958625793,74.31500244140625,-115.44052176232977,-439.55270686464655,60.2170295715332,464.70184326171875
0.12,6,0.909609854221344,0.41546347737312317,1.1423439979553223,10.0,100.0,199.446533203125,0.8253566026687622,-0.5646117925643921,90.1353530883789,-0.08425326645374298,-0.9800752997398376,88.99301147460938,-128.99380304444767,-568.5465099090942,75.19994354248047,474.093017578125
0.14,7,0.9851893186569214,0.1714702844619751,1.3984744548797607,10.0,100.0,196.52468872070312,-0.9737760424613953,-0.22750869393348694,105.01383209228516,-1.9589653015136719,-0.39897897839546204,103.61536407470703,-142.45745142645274,-711.0039613355469,90.1353530883789,483.1847229003906
0.16,8,1.0,6.123234262925839e-17,1.5707963705062866,10.0,100.0,193.4787139892578,0.43087977170944214,0.9024093151092529,119.82598876953125,-0.5691202282905579,0.9024093151092529,118.25519561767578,-155.90753195121198,-866.911493286759,105.01383209228516,491.97125244140625
0.18,9,1.0,6.123234262925839e-17,1.5707963705062866,10.0,100.0,190.31053161621094,0.5021018981933594,-0.8648084998130798,134.5624542236328,-0.4978981018066406,-0.8648084998130798,132.9916534423828,-169.42619166761662,-1036.3376849543756,119.82598876953125,500.4470520019531
0.2,10,1.0,6.123234262925839e-17,1.5707963705062866,10.0,100.0,187.02215576171875,-0.9999313354492188,-0.011718478053808212,149.21392822265625,-1.9999313354492188,-0.011718478053808212,147.6431427001953,-182.83490741192648,-1219.172592366302,134.5624542236328,508.60675048828125
