t,step,x,y,theta,theta_dot,theta_ddot,tau,x_target,y_target,theta_target,ex,ey,etheta,reward,reward_cum,force_left,force_right
0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,1,5.303300713421777e-05,1.0,5.303300713421777e-05,0.002651650458574295,0.13258251547813416,0.1767766922712326,0.031390100717544556,0.9995071887969971,0.031395260244607925,0.03133707121014595,-0.0004927892587147653,0.03134222701191902,-0.879991332125363,-0.879991332125363,0.0,0.3535533845424652
0.04,2,0.00015734117187093943,1.0,0.00015734117187093943,0.005215407814830542,0.1281878799200058,0.17183013260364532,0.06262560933828354,0.9980370998382568,0.06266661733388901,0.0624682679772377,-0.001962897600606084,0.06250927597284317,-0.7080780574227664,-1.5880693895481293,0.031395260244607925,0.3750555217266083
0.06,3,0.0003107381344307214,0.9999999403953552,0.0003107381344307214,0.00766984885558486,0.12272204458713531,0.16620543599128723,0.09355364739894867,0.995614230632782,0.0936906561255455,0.09324291348457336,-0.004385711625218391,0.0933799222111702,-0.5713300533567333,-2.1593994429048626,0.06266661733388901,0.39507749676704407
0.08,4,0.0005106257158331573,0.9999998807907104,0.0005106257740408182,0.009994381107389927,0.11622660607099533,0.15992480516433716,0.12402476370334625,0.9922791123390198,0.12434494495391846,0.12351413816213608,-0.007720746099948883,0.12383431941270828,-0.45890288108564153,-2.618302323990504,0.0936906561255455,0.4135402739048004
0.1,5,0.000754013133700937,0.9999997019767761,0.000754013191908598,0.012169373221695423,0.10874959081411362,0.15301303565502167,0.15389446914196014,0.9880872964859009,0.15450850129127502,0.15314045548439026,-0.011912425979971886,0.15375448763370514,-0.3638696327383678,-2.982171956728872,0.12434494495391846,0.4303710162639618
0.12,6,0.001037538517266512,0.999999463558197,0.0010375387500971556,0.01417627651244402,0.10034520924091339,0.1454973816871643,0.18302473425865173,0.9831082820892334,0.18406227231025696,0.1819871962070465,-0.016891151666641235,0.18302473425865173,-0.28177946960061906,-3.263951426329491,0.15450850129127502,0.44550326466560364
0.14,7,0.0013574932236224413,0.9999991059303284,0.0013574936892837286,0.01599774695932865,0.09107349812984467,0.13740752637386322,0.21128518879413605,0.9774244427680969,0.2128896415233612,0.20992769300937653,-0.022574622184038162,0.21153214573860168,-0.20964496832411098,-3.473596394653602,0.18406227231025696,0.4588773250579834
0.16,8,0.0017098478274419904,0.9999985098838806,0.0017098486423492432,0.01761774718761444,0.08099997788667679,0.12877537310123444,0.2385542392730713,0.9711291790008545,0.24087683856487274,0.23684439063072205,-0.02886936254799366,0.2391669899225235,-0.14538764070671856,-3.6189840353603207,0.2128896415233612,0.4704403877258301
0.18,9,0.0020902801770716906,0.9999977946281433,0.0020902815740555525,0.0190216526389122,0.0701952800154686,0.11963500827550888,0.2647198438644409,0.9643253684043884,0.2679134011268616,0.26262956857681274,-0.03567245602607727,0.2658231258392334,-0.08751698858046197,-3.7065010239407825,0.24087683856487274,0.4801468551158905
