t,step,x,y,theta,theta_dot,theta_ddot,tau,x_target,y_target,theta_target,ex,ey,etheta,p_error,i_error,d_error,kp,ki,kd,reward,reward_cum,force_left,force_right
0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.5,1.0,0.0,0.0,5.313952445983887,4.686047554016113
0.02,1,0.0,1.0,0.0,0.0,0.0,0.0,0.01884397678077221,0.9998224377632141,0.01884509064257145,0.01884397678077221,-0.00017756347369868308,0.01884509064257145,0.01884509064257145,0.00018845091108232737,0.0,10.0,0.5,1.0,-0.11357243251793711,-0.11357243251793711,5.0,5.0
0.04,2,9.418573608854786e-05,1.0,9.418573608854786e-05,0.004709286615252495,0.23546433448791504,0.3139524459838867,0.03765450045466423,0.9992908239364624,0.037663403898477554,0.03756031394004822,-0.0007091776933521032,0.03756921738386154,0.03756921738386154,0.0007525939727202058,0.0,10.0,0.5,1.0,-0.1128523669238229,-0.22642479944176003,4.686047554016113,5.313952445983887
0.06,3,0.00037602343945764005,0.9999999403953552,0.0003760234685614705,0.014091886579990387,0.4691299796104431,0.6266660690307617,0.05639825016260147,0.9984083771705627,0.05642819404602051,0.05602222681045532,-0.0015915773110464215,0.05605217069387436,0.05605217069387436,0.0016888078534975648,0.0,10.0,0.5,1.0,-0.1114149280219339,-0.33783972746369395,4.373333930969238,5.626666069030762
0.08,4,0.0009376149391755462,0.9999995827674866,0.000937615055590868,0.028079580515623093,0.6993846893310547,0.9369063377380371,0.07504218071699142,0.9971803426742554,0.07511279731988907,0.07410456985235214,-0.0028192002791911364,0.07417517900466919,0.07417517900466919,0.0029910814482718706,0.0,10.0,0.5,1.0,-0.10926864166976012,-0.4471083691334541,4.063093662261963,5.936906337738037
0.1,5,0.001869059749878943,0.9999982714653015,0.0018690609140321612,0.04657229036092758,0.9246355295181274,1.243449330329895,0.09355364739894867,0.995614230632782,0.0936906561255455,0.09168458729982376,-0.00438401335850358,0.0918215960264206,0.0918215960264206,0.00465104915201664,0.0,10.0,0.5,1.0,-0.10642602446893443,-0.5535343936023885,3.7565505504608154,6.2434492111206055
0.12,6,0.0032578271348029375,0.999994695186615,0.003257832955569029,0.06943860650062561,1.1433156728744507,1.5450849533081055,0.11190052330493927,0.9937193989753723,0.1121353805065155,0.10864269733428955,-0.00627527991309762,0.10887754708528519,0.10887754708528519,0.006658040452748537,0.0,10.0,0.5,1.0,-0.10290352229933526,-0.6564379159017238,3.4549150466918945,6.5450849533081055
0.14,7,0.005188139155507088,0.9999865293502808,0.005188162438571453,0.09651647508144379,1.3538936376571655,1.8406227827072144,0.13005132973194122,0.9915072321891785,0.1304207593202591,0.12486319243907928,-0.008479279465973377,0.12523259222507477,0.12523259222507477,0.008999141864478588,0.0,10.0,0.5,1.0,-0.09872142762566678,-0.7551593435273907,3.159377336502075,6.840622901916504
0.16,8,0.007701699621975422,0.9999703168869019,0.007701775524765253,0.12568065524101257,1.4582089185714722,2.0,0.1479753702878952,0.9889910221099854,0.1485207974910736,0.14027367532253265,-0.010979294776916504,0.1408190131187439,0.1408190131187439,0.011659657582640648,0.0,10.0,0.5,1.0,-0.09413579635947592,-0.8492951398868666,2.871103525161743,7.128896236419678
0.18,9,0.010790628381073475,0.9999417662620544,0.010790836997330189,0.1544530838727951,1.4386217594146729,2.0,0.16564279794692993,0.9861857891082764,0.16640977561473846,0.15485216677188873,-0.013755962252616882,0.15561893582344055,0.15561893582344055,0.014624037779867649,0.0,10.0,0.5,1.0,-0.08944520513885156,-0.9387403450257181,2.59123158454895,7.408768177032471
