t,step,x,y,theta,theta_dot,theta_ddot,tau,x_target,y_target,theta_target,ex,ey,etheta
0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.02,1,0.0,1.0,0.0,0.0,0.0,0.0,0.01884397678077221,0.9998224377632141,0.01884509064257145,0.01884397678077221,-0.00017756347369868308,0.01884509064257145
0.04,2,0.00012558097660075873,1.0,0.00012558097660075873,0.006279048975557089,0.3139524459838867,0.3139524459838867,0.03765450045466423,0.9992908239364624,0.037663403898477554,0.03752891719341278,-0.0007091742008924484,0.037537820637226105
0.06,3,0.0005012099863961339,0.9999998807907104,0.0005012100446037948,0.018781451508402824,0.6251201629638672,0.6266660690307617,0.05639825016260147,0.9984083771705627,0.05642819404602051,0.05589704215526581,-0.001591522479429841,0.055926982313394547
0.08,4,0.0012492588721215725,0.9999992251396179,0.001249259221367538,0.03740245848894119,0.9310504198074341,0.9369063377380371,0.07504218071699142,0.9971803426742554,0.07511279731988907,0.07379292696714401,-0.0028188596479594707,0.07386353611946106
0.1,5,0.0024890354834496975,0.9999969005584717,0.0024890380445867777,0.061988938599824905,1.2293239831924438,1.243449330329895,0.09355364739894867,0.995614230632782,0.0936906561255455,0.09106461703777313,-0.0043826624751091,0.09120161831378937
0.12,6,0.004335830453783274,0.9999905824661255,0.004335843957960606,0.09234029799699783,1.5175681114196777,1.5450849533081055,0.11190052330493927,0.9937193989753723,0.1121353805065155,0.10756469517946243,-0.006271186750382185,0.10779953747987747
0.14,7,0.006899983622133732,0.9999762177467346,0.006900038570165634,0.12820972502231598,1.7934712171554565,1.8406227827072144,0.13005132973194122,0.9915072321891785,0.1304207593202591,0.12315134704113007,-0.0084689324721694,0.12352071702480316
0.16,8,0.010234414599835873,0.9999476075172424,0.010234593413770199,0.16672773659229279,1.9259006977081299,2.0,0.1479753702878952,0.9889910221099854,0.1485207974910736,0.13774095475673676,-0.010956580750644207,0.13828620314598083
0.18,9,0.014325163327157497,0.9998973608016968,0.01432565413415432,0.20455302298069,1.8912639617919922,2.0,0.16564279794692993,0.9861857891082764,0.16640977561473846,0.15131762623786926,-0.013711572624742985,0.1520841121673584
0.2,10,0.019155239686369896,0.9998165369033813,0.019156411290168762,0.24153786897659302,1.8492424488067627,2.0,0.18302473425865173,0.9831082820892334,0.18406227231025696,0.1638694852590561,-0.016708211973309517,0.1649058610200882
0.22,11,0.02470465935766697,0.9996947646141052,0.024707172065973282,0.2775380611419678,1.8000102043151855,2.0,0.2000933736562729,0.9797768592834473,0.20145322382450104,0.17538870871067047,-0.019917959347367287,0.17674604058265686
0.24,12,0.030950497835874557,0.9995208978652954,0.030955443158745766,0.3124134838581085,1.7437703609466553,2.0,0.2168220430612564,0.9762111306190491,0.21855787932872772,0.18587154150009155,-0.023309770971536636,0.1876024454832077
